"curve_id","growth_temp","metric","term","estimate","std.error","statistic","p.value","conf_lower","conf_upper","species","margin"
"July",20,"EPR","rmax",62.8510589755514,3.38190283621366,18.5845253454764,4.52138742501772e-33,57.9274403753808,69.4465347178056,"tonsa",42.8510589755514
"July",20,"EPR","topt",29.1551763665187,2.81040234998694,10.3740221988692,3.32603462250581e-17,25.8813854323821,30,"tonsa",9.15517636651866
"July",20,"EPR","a",12.9137653106647,2.35166185682344,5.49133595597298,3.44690124234614e-07,10.1445150901264,16.2264985171494,"tonsa",-7.08623468933529
"July",20,"HF","rmax",0.940963745635951,0.0209821698321936,44.8458740521775,8.65971525451128e-65,0.899839725237189,0.97665641146856,"tonsa",-19.059036254364
"July",20,"HF","topt",19.6656803334754,1.69745404073881,11.5853978143149,9.71171367216673e-20,10,25.618680332755,"tonsa",-0.334319666524575
"July",20,"HF","a",27.8844329232563,7.78558948809774,3.58154420623958,0.000545640313012282,19.0531095863384,83.699520736345,"tonsa",7.88443292325627
"July",20,"RF","rmax",58.863321765368,2.7589025959713,21.3357738150391,1.34647963895108e-37,53.8690753193113,64.4208563821634,"tonsa",38.863321765368
"July",20,"RF","topt",26.8880159769413,1.71644066327941,15.6649842620073,7.96221885229521e-28,24.5621435377132,30,"tonsa",6.88801597694133
"July",20,"RF","a",11.3642248184506,1.69919469683903,6.68800628885621,1.66501354580682e-09,9.06812708093962,15.2686101558964,"tonsa",-8.63577518154941
"August",18,"EPR","rmax",79.3735260504565,3.4793751422539,22.8125806517774,7.16698504696066e-40,72.5450599011585,85.9979128189714,"tonsa",61.3735260504565
"August",18,"EPR","topt",25.9687170077277,0.707643923088002,36.6974351936861,4.03181792955976e-57,24.8727961045581,27.8323231160639,"tonsa",7.96871700772773
"August",18,"EPR","a",8.2106558340842,0.756818955576396,10.8489035238698,3.33898628565133e-18,7.02888778774085,10.10474573567,"tonsa",-9.7893441659158
"August",18,"HF","rmax",0.97747416814554,0.030162751696485,32.4066642851902,1.84701239100967e-52,0.904813969840343,1.02849100786166,"tonsa",-17.0225258318545
"August",18,"HF","topt",25.297283813169,2.26026405695627,11.1921807256604,6.38971716225373e-19,22.243975267523,30,"tonsa",7.29728381316899
"August",18,"HF","a",18.572586478497,3.769608722022,4.92692686378727,3.62222804439664e-06,13.6669691011538,28.2150278179314,"tonsa",0.572586478496973
"August",18,"RF","rmax",78.6197382101188,3.51985801431259,22.3360538665003,3.78210499043539e-39,71.2606367876454,84.5436817094709,"tonsa",60.6197382101188
"August",18,"RF","topt",26.0527469713957,0.723278291594709,36.0203634951544,2.03576418224167e-56,24.9000870322301,27.7283799083291,"tonsa",8.0527469713957
"August",18,"RF","a",8.15033132634096,0.769376821059497,10.5934193794885,1.14837459304235e-17,6.91058509241676,10.024605337829,"tonsa",-9.84966867365904
"September",18,"EPR","rmax",73.335542915601,2.85126514306361,25.7203519265851,1.37367617973864e-44,66.114599636189,78.2254246896749,"tonsa",55.335542915601
"September",18,"EPR","topt",26.2372246088183,0.741225660444594,35.3970808202741,1.62099673527502e-56,24.9643665421379,28.1302096213953,"tonsa",8.23722460881832
"September",18,"EPR","a",8.53428248240343,0.752908837318639,11.3350807686052,2.40737322298263e-19,7.3359718581716,10.4865171742974,"tonsa",-9.46571751759657
"September",18,"HF","rmax",0.985529904972002,0.0208315334374366,47.3095227450177,7.67370332321467e-68,0.941200939656469,1.02105725558217,"tonsa",-17.014470095028
"September",18,"HF","topt",22.5023592550553,0.974763201489378,23.0849494735471,9.73523223992923e-41,20.8045872660413,25.4577708327676,"tonsa",4.50235925505529
"September",18,"HF","a",18.6793399904326,2.37697525151968,7.85844950572802,5.97578523578998e-12,15.0804242368239,25.9431979048362,"tonsa",0.679339990432588
"September",18,"RF","rmax",70.6176953649985,2.76394891441393,25.5495660562787,2.38998010089946e-44,65.6180833828069,76.0134998782249,"tonsa",52.6176953649985
"September",18,"RF","topt",25.6720554913981,0.612155215059877,41.93716701227,4.29364224821748e-63,24.6583626539179,27.1909370685663,"tonsa",7.67205549139814
"September",18,"RF","a",8.13128812255962,0.653265828770387,12.4471352464046,1.14412294242485e-21,7.02803764096833,9.55380868731596,"tonsa",-9.86871187744038
"October",16,"EPR","rmax",37.5328909103025,2.78435169869716,13.4799389487559,2.23791318288508e-21,32.9801848711717,42.9749183287558,"tonsa",21.5328909103025
"October",16,"EPR","topt",22.5341978797104,0.630513640619225,35.7394296142105,1.45655683120826e-47,21.2779400817178,23.9398503808533,"tonsa",6.53419787971037
"October",16,"EPR","a",8.19564542370439,0.81212077348681,10.0916583976995,2.00568177113723e-15,6.99961346082524,10.189307604019,"tonsa",-7.80435457629561
"October",16,"HF","rmax",0.869211459976288,0.067131168638825,12.9479566288018,1.76228696357086e-20,0.718773030171562,0.967711803798328,"tonsa",-15.1307885400237
"October",16,"HF","topt",29.1982584113888,7.04619976868542,4.14383062784441,9.19273319393231e-05,23.0765168779738,30,"tonsa",13.1982584113888
"October",16,"HF","a",18.4104743123944,7.83704212223056,2.34916107700521,0.0215628265404195,12.8034145478845,34.4290214893694,"tonsa",2.41047431239438
"October",16,"RF","rmax",36.0221610395955,4.07231132032401,8.84563045556385,4.04893822710647e-13,28.1241344570549,43.4333659207921,"tonsa",20.0221610395955
"October",16,"RF","topt",23.4254588158708,0.620561344360838,37.7488205295779,3.4549028814808e-49,22.2391406564718,24.6388523096245,"tonsa",7.42545881587084
"October",16,"RF","a",6.60629480656056,0.796439610257242,8.29478433955186,4.31732789602701e-12,5.32749149765907,8.63059555798415,"tonsa",-9.39370519343944
